epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.598,0.77471,0.81704,0.02903,0.74889,0.79471,0.89227,0.75123,0.73829,0.76424,0.023,0.000665068,0.000665068,0.000665068
2,227.571,0.6569,0.24587,0.02427,0.66257,0.8592,0.81936,0.55656,1.14869,0.79909,0.03815,0.00119989,0.00119989,0.00119989
3,349.053,0.63558,0.21266,0.02345,0.80795,0.84606,0.91202,0.51083,1.44264,0.99299,0.0498,0.00160272,0.00160272,0.00160272
4,458.978,0.58908,0.18887,0.02158,0.96571,0.91697,0.98404,0.81751,0.68949,0.45907,0.02132,0.001406,0.001406,0.001406
5,572.472,0.54902,0.17166,0.02021,0.95808,0.9686,0.98767,0.81908,0.64846,0.27435,0.02008,0.001208,0.001208,0.001208
6,681.573,0.52075,0.1571,0.01916,0.99333,0.9946,0.99483,0.81934,0.75059,0.20387,0.02283,0.00101,0.00101,0.00101
7,787.659,0.50184,0.14859,0.01847,0.98468,0.99386,0.99473,0.9002,0.46516,0.15091,0.01401,0.000812,0.000812,0.000812
8,891.362,0.48029,0.141,0.0177,0.99498,0.99399,0.99497,0.90018,0.47019,0.14029,0.01407,0.000614,0.000614,0.000614
9,994.046,0.45827,0.13368,0.01688,0.99792,0.99321,0.99499,0.92188,0.42253,0.12792,0.0125,0.000416,0.000416,0.000416
10,1096.97,0.43596,0.12688,0.01606,0.99625,0.99279,0.99498,0.91112,0.45529,0.13513,0.01353,0.000218,0.000218,0.000218
