epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.1099,0.94654,9.4354,0.0357,0.69335,0.69475,0.77072,0.60876,0.82868,6.34555,0.03091,0.000413832,0.000413832,0.000413832
2,73.5375,0.82196,4.84579,0.03093,0.7716,0.86495,0.84316,0.70388,0.68833,1.51241,0.02484,0.000748279,0.000748279,0.000748279
3,104.694,0.76041,2.18355,0.02828,0.83436,0.86782,0.88186,0.74662,0.63707,0.70957,0.02267,0.00100023,0.00100023,0.00100023
4,135.869,0.7305,1.14376,0.02729,0.8574,0.82908,0.88264,0.76373,0.56308,0.47148,0.02025,0.00087875,0.00087875,0.00087875
5,166.949,0.69888,0.73928,0.02607,0.95001,0.94673,0.98835,0.85408,0.57916,0.28942,0.02093,0.000755,0.000755,0.000755
6,197.451,0.6622,0.53983,0.02461,0.9049,0.92133,0.96397,0.7998,0.69056,0.34474,0.0247,0.00063125,0.00063125,0.00063125
7,228.987,0.59351,0.4218,0.02193,0.96788,0.95835,0.9908,0.87092,0.52877,0.22102,0.01893,0.0005075,0.0005075,0.0005075
8,262.112,0.56417,0.36198,0.02097,0.97318,0.96278,0.99183,0.87893,0.51017,0.20355,0.01821,0.00038375,0.00038375,0.00038375
9,294.312,0.54424,0.31867,0.02014,0.98104,0.97537,0.99386,0.88778,0.47745,0.18695,0.01691,0.00026,0.00026,0.00026
10,326.151,0.52732,0.30053,0.0195,0.97724,0.97639,0.99321,0.84585,0.6252,0.21554,0.02213,0.00013625,0.00013625,0.00013625
