epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2824,2.66741,8.03695,0.08581,0.00294,0.7754,0.00604,0.00199,1.65948,9.51132,0.08276,0.000407609,0.000407609,0.000407609
2,21.6858,1.83552,5.72412,0.05447,0.00441,0.88474,0.01989,0.00478,1.41821,7.3358,0.06788,0.000807955,0.000807955,0.000807955
3,30.9952,1.30093,4.34247,0.03519,0.00335,1,0.14602,0.05995,1.61748,5.54775,0.07283,0.0011918,0.0011918,0.0011918
4,40.3976,1.13967,3.594,0.02948,0.00349,1,0.28563,0.15978,0.96381,4.14252,0.04363,0.00117575,0.00117575,0.00117575
5,49.7674,1.13567,3.01957,0.0299,0.34319,0.35662,0.35749,0.20865,1.21705,3.15045,0.05428,0.001151,0.001151,0.001151
6,59.7481,1.1468,2.44086,0.03012,0.45332,0.34975,0.42926,0.22466,1.45294,2.85227,0.0654,0.00112625,0.00112625,0.00112625
7,70.3616,1.13944,2.0875,0.02994,0.4033,0.66969,0.56199,0.36802,1.31452,2.38861,0.05965,0.0011015,0.0011015,0.0011015
8,80.4733,1.12098,1.79654,0.02956,0.52273,0.58529,0.59078,0.42036,1.05317,1.91051,0.04699,0.00107675,0.00107675,0.00107675
9,96.0319,1.08552,1.56292,0.02853,0.70087,0.7008,0.76445,0.56858,0.94753,1.44233,0.04226,0.001052,0.001052,0.001052
10,112.896,1.04932,1.40926,0.02699,0.75445,0.75361,0.84189,0.62092,0.95611,1.1534,0.04202,0.00102725,0.00102725,0.00102725
11,130.029,1.05688,1.29202,0.02797,0.72871,0.77941,0.82614,0.59167,1.08276,0.98856,0.04849,0.0010025,0.0010025,0.0010025
12,141.491,1.00079,1.1539,0.02564,0.7824,0.77851,0.84701,0.62383,1.02125,0.96823,0.04475,0.00097775,0.00097775,0.00097775
13,150.611,1.00371,1.11216,0.02598,0.80757,0.8382,0.90544,0.68755,0.81987,0.81012,0.03649,0.000953,0.000953,0.000953
14,159.821,0.97277,1.02323,0.02492,0.83158,0.86805,0.93584,0.72134,0.86837,0.67995,0.03879,0.00092825,0.00092825,0.00092825
15,168.907,0.96758,0.96238,0.02493,0.8426,0.91141,0.94008,0.68834,1.00117,0.60951,0.04568,0.0009035,0.0009035,0.0009035
16,177.729,0.9383,0.89783,0.02431,0.90571,0.88804,0.96429,0.72265,0.9514,0.56114,0.04236,0.00087875,0.00087875,0.00087875
17,186.826,0.90883,0.86663,0.02298,0.90539,0.93011,0.97333,0.74269,0.90378,0.50486,0.03967,0.000854,0.000854,0.000854
18,195.795,0.95178,0.83705,0.02464,0.91227,0.90537,0.97316,0.7774,0.76778,0.4682,0.03344,0.00082925,0.00082925,0.00082925
19,204.718,0.90676,0.76393,0.02302,0.89209,0.92713,0.96714,0.76111,0.78512,0.48194,0.03436,0.0008045,0.0008045,0.0008045
20,213.573,0.90366,0.8086,0.023,0.90461,0.90159,0.96527,0.73347,0.90726,0.49398,0.03988,0.00077975,0.00077975,0.00077975
21,222.46,0.86838,0.78864,0.02199,0.85184,0.91777,0.96436,0.78886,0.69555,0.4723,0.03029,0.000755,0.000755,0.000755
22,231.556,0.85471,0.72024,0.02143,0.89774,0.93707,0.97435,0.77657,0.78092,0.41714,0.03427,0.00073025,0.00073025,0.00073025
23,240.522,0.84815,0.70643,0.02126,0.92179,0.91394,0.97802,0.78444,0.76452,0.40427,0.03343,0.0007055,0.0007055,0.0007055
24,249.529,0.90426,0.6842,0.02308,0.85409,0.85481,0.93539,0.72777,0.7954,0.52418,0.03526,0.00068075,0.00068075,0.00068075
25,258.552,0.83934,0.67755,0.02152,0.93941,0.89705,0.97777,0.80348,0.68542,0.37474,0.02999,0.000656,0.000656,0.000656
26,267.369,0.8167,0.67172,0.02056,0.93938,0.93101,0.98332,0.81245,0.71854,0.36179,0.03162,0.00063125,0.00063125,0.00063125
27,276.332,0.84178,0.68439,0.0218,0.92471,0.93458,0.98274,0.80362,0.70349,0.35761,0.03063,0.0006065,0.0006065,0.0006065
28,285.385,0.78907,0.63604,0.01993,0.94737,0.94514,0.98776,0.81851,0.67044,0.33646,0.02926,0.00058175,0.00058175,0.00058175
29,294.309,0.80298,0.60462,0.01999,0.96473,0.92747,0.9862,0.8179,0.67095,0.32046,0.02912,0.000557,0.000557,0.000557
30,303.405,0.7912,0.5902,0.01966,0.94747,0.95097,0.98621,0.82715,0.63551,0.32193,0.02763,0.00053225,0.00053225,0.00053225
31,312.478,0.77679,0.58447,0.01935,0.97034,0.9347,0.98876,0.83691,0.63818,0.30639,0.02781,0.0005075,0.0005075,0.0005075
32,321.41,0.80754,0.61181,0.02002,0.95408,0.94438,0.98648,0.81551,0.68554,0.33128,0.02996,0.00048275,0.00048275,0.00048275
