epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.7394,2.57538,10.9844,0.04461,0.00193,0.30681,0.01105,0.00683,1.86709,11.3136,0.02834,0.000406504,0.000406504,0.000406504
2,28.3017,1.88554,7.70346,0.02874,0.95822,0.04661,0.08755,0.04917,1.61278,7.33982,0.02187,0.000815021,0.000815021,0.000815021
3,35.8397,1.54949,5.46524,0.01967,0.91597,0.06356,0.12394,0.05735,1.66121,5.28155,0.02111,0.00121529,0.00121529,0.00121529
4,43.1299,1.47013,4.26848,0.01721,0.85773,0.08051,0.1465,0.09206,1.46301,3.93419,0.01701,0.00121287,0.00121287,0.00121287
5,50.349,1.41444,3.36956,0.01506,0.69567,0.19487,0.18318,0.11671,1.40829,2.93482,0.01506,0.0012005,0.0012005,0.0012005
6,58.0259,1.36328,2.85285,0.01609,0.63943,0.14265,0.16069,0.1027,1.45467,2.52536,0.01636,0.00118812,0.00118812,0.00118812
7,65.1796,1.37806,2.37925,0.01492,0.71129,0.30762,0.25637,0.16907,1.44011,1.8726,0.01695,0.00117575,0.00117575,0.00117575
8,72.0808,1.38704,2.05742,0.017,0.90344,0.3196,0.35201,0.22227,1.62752,1.6199,0.02387,0.00116337,0.00116337,0.00116337
9,79.0288,1.33108,1.80247,0.01525,0.87412,0.34227,0.36504,0.23396,1.70594,1.4315,0.02604,0.001151,0.001151,0.001151
10,85.9989,1.2992,1.66825,0.01494,0.82416,0.30893,0.30176,0.20616,1.44703,1.50462,0.01957,0.00113863,0.00113863,0.00113863
11,93.5742,1.27167,1.47821,0.01441,0.89626,0.34619,0.38354,0.26794,1.40209,1.30074,0.01668,0.00112625,0.00112625,0.00112625
12,100.531,1.28339,1.42651,0.01435,0.38311,0.3808,0.40681,0.2852,1.39952,1.206,0.01868,0.00111388,0.00111388,0.00111388
13,107.522,1.27866,1.26914,0.01397,0.42667,0.40461,0.43181,0.27558,1.64529,1.08635,0.02677,0.0011015,0.0011015,0.0011015
14,114.431,1.30273,1.23259,0.01473,0.39569,0.41634,0.43078,0.31577,1.30338,0.92439,0.01515,0.00108913,0.00108913,0.00108913
15,121.721,1.29483,1.15732,0.01383,0.40451,0.41492,0.42926,0.28991,1.41122,0.94524,0.01736,0.00107675,0.00107675,0.00107675
16,128.728,1.26182,1.09438,0.01347,0.44968,0.41758,0.44713,0.30292,1.44674,0.90323,0.02001,0.00106437,0.00106437,0.00106437
17,135.766,1.25029,1.02438,0.01416,0.42378,0.42308,0.43945,0.32169,1.28931,0.85565,0.01379,0.001052,0.001052,0.001052
