epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.7306,1.57658,3.43794,0.02135,0.88904,0.38716,0.40795,0.23371,1.653,2.41028,0.02564,0.000406504,0.000406504,0.000406504
2,28.133,1.26928,1.89174,0.01467,0.85595,0.44393,0.52297,0.31556,1.51684,1.92987,0.02263,0.000815021,0.000815021,0.000815021
3,41.236,1.30837,1.55436,0.01439,0.90232,0.51277,0.59959,0.41277,1.22802,1.35607,0.01449,0.00121529,0.00121529,0.00121529
4,52.9746,1.27278,1.39665,0.01324,0.86551,0.62157,0.66901,0.45483,1.34166,1.12803,0.01533,0.00121287,0.00121287,0.00121287
5,64.1632,1.28149,1.25163,0.01288,0.78458,0.6974,0.74082,0.52762,1.1707,0.87567,0.01385,0.0012005,0.0012005,0.0012005
6,76.4195,1.25678,1.12018,0.01347,0.71297,0.69658,0.73726,0.49059,1.25014,0.85188,0.01513,0.00118812,0.00118812,0.00118812
7,89.2315,1.25545,1.14144,0.01228,0.70523,0.68061,0.7417,0.47953,1.29757,0.93935,0.01672,0.00117575,0.00117575,0.00117575
8,101.914,1.23095,0.95952,0.01392,0.9517,0.6716,0.75648,0.49315,1.26946,0.86798,0.01743,0.00116337,0.00116337,0.00116337
9,116.288,1.23826,0.93912,0.01288,0.7974,0.70625,0.72606,0.47755,1.24919,0.85877,0.01558,0.001151,0.001151,0.001151
10,128.42,1.23749,0.87227,0.01236,0.87042,0.71695,0.77368,0.51924,1.20931,0.74126,0.0141,0.00113863,0.00113863,0.00113863
11,141.045,1.21437,0.83875,0.01271,0.7512,0.77362,0.78638,0.52405,1.23971,0.68843,0.01398,0.00112625,0.00112625,0.00112625
12,154.535,1.2243,0.81395,0.01211,0.821,0.76212,0.78701,0.53513,1.2532,0.6767,0.01494,0.00111388,0.00111388,0.00111388
13,168.26,1.19311,0.82475,0.01149,0.84089,0.74097,0.80588,0.5554,1.16486,0.64908,0.01296,0.0011015,0.0011015,0.0011015
14,181.832,1.1593,0.79103,0.01221,0.86335,0.77561,0.83185,0.57197,1.15149,0.67577,0.0132,0.00108913,0.00108913,0.00108913
15,195.088,1.22359,0.78487,0.0127,0.7931,0.82212,0.84217,0.55186,1.23595,0.60255,0.0142,0.00107675,0.00107675,0.00107675
16,208.481,1.18164,0.7553,0.01176,0.73594,0.8123,0.82168,0.54812,1.19702,0.66856,0.01349,0.00106437,0.00106437,0.00106437
17,218.911,1.17025,0.69915,0.01194,0.81805,0.83487,0.83821,0.53382,1.29792,0.54902,0.01642,0.001052,0.001052,0.001052
18,226.545,1.15771,0.68718,0.01155,0.80564,0.82501,0.84,0.5518,1.21136,0.55431,0.01335,0.00103962,0.00103962,0.00103962
19,234.169,1.16526,0.69819,0.0118,0.69676,0.8443,0.85101,0.55032,1.2179,0.59334,0.01367,0.00102725,0.00102725,0.00102725
20,241.96,1.19792,0.68884,0.01157,0.77652,0.84415,0.83274,0.54773,1.22926,0.52528,0.01468,0.00101488,0.00101488,0.00101488
21,250.25,1.10978,0.64992,0.01124,0.83668,0.82551,0.85178,0.58214,1.17073,0.52721,0.01309,0.0010025,0.0010025,0.0010025
22,258.394,1.13418,0.63072,0.01085,0.82813,0.80809,0.83896,0.58645,1.10382,0.53909,0.01175,0.000990125,0.000990125,0.000990125
23,266.448,1.15474,0.623,0.01141,0.84176,0.82523,0.86361,0.57325,1.16656,0.54711,0.01252,0.00097775,0.00097775,0.00097775
24,274.194,1.15099,0.64641,0.01165,0.78926,0.81617,0.82605,0.56021,1.21648,0.57349,0.01401,0.000965375,0.000965375,0.000965375
25,282.64,1.16761,0.62245,0.01127,0.84727,0.86082,0.87202,0.55837,1.26111,0.53465,0.01544,0.000953,0.000953,0.000953
26,290.582,1.15533,0.63182,0.01079,0.82239,0.81357,0.85043,0.57001,1.15952,0.51959,0.01269,0.000940625,0.000940625,0.000940625
27,298.154,1.11511,0.59491,0.01072,0.89317,0.81424,0.85601,0.59346,1.17137,0.52857,0.01361,0.00092825,0.00092825,0.00092825
28,306.035,1.12223,0.57433,0.01109,0.90707,0.81518,0.87889,0.58357,1.17272,0.49709,0.0128,0.000915875,0.000915875,0.000915875
29,313.65,1.14868,0.60977,0.01107,0.83055,0.859,0.88074,0.58392,1.27186,0.49682,0.01398,0.0009035,0.0009035,0.0009035
30,321.316,1.16761,0.63085,0.01111,0.81624,0.85383,0.87284,0.57784,1.17772,0.5924,0.01288,0.000891125,0.000891125,0.000891125
31,329.179,1.16338,0.60331,0.01124,0.80855,0.83426,0.85019,0.58886,1.18147,0.57994,0.01257,0.00087875,0.00087875,0.00087875
32,336.897,1.07395,0.56876,0.01133,0.85498,0.81427,0.86738,0.58065,1.18678,0.54507,0.01298,0.000866375,0.000866375,0.000866375
33,344.597,1.09415,0.60764,0.01068,0.87997,0.84059,0.89912,0.58901,1.15768,0.52436,0.01253,0.000854,0.000854,0.000854
34,352.449,1.08557,0.5401,0.01083,0.83542,0.87903,0.88087,0.58346,1.1597,0.49436,0.01344,0.000841625,0.000841625,0.000841625
35,360.069,1.08204,0.54956,0.01104,0.83917,0.85073,0.87824,0.59268,1.18002,0.47811,0.013,0.00082925,0.00082925,0.00082925
36,367.821,1.1343,0.56345,0.01136,0.83557,0.87769,0.89234,0.59166,1.15722,0.48469,0.01211,0.000816875,0.000816875,0.000816875
37,375.339,1.09589,0.54775,0.01044,0.89253,0.83772,0.88196,0.60411,1.18849,0.45681,0.01364,0.0008045,0.0008045,0.0008045
38,382.97,1.11135,0.52336,0.01061,0.95738,0.85968,0.91027,0.59801,1.1097,0.48798,0.01179,0.000792125,0.000792125,0.000792125
39,390.631,1.03191,0.48281,0.0107,0.92225,0.8379,0.90747,0.60325,1.13418,0.43816,0.01195,0.00077975,0.00077975,0.00077975
40,398.536,1.08484,0.50943,0.01106,0.91073,0.84596,0.91678,0.56526,1.32328,0.49274,0.01593,0.000767375,0.000767375,0.000767375
41,406.292,1.10401,0.54616,0.01105,0.81789,0.8948,0.89619,0.59342,1.24541,0.48258,0.01454,0.000755,0.000755,0.000755
42,414.093,1.07804,0.49322,0.01046,0.86484,0.89496,0.91126,0.58426,1.13905,0.49289,0.01271,0.000742625,0.000742625,0.000742625
43,421.879,1.0312,0.4878,0.01013,0.8572,0.87732,0.8968,0.60255,1.11057,0.44906,0.01263,0.00073025,0.00073025,0.00073025
44,429.93,1.07771,0.52155,0.01078,0.8945,0.8844,0.9092,0.59648,1.13876,0.46695,0.01304,0.000717875,0.000717875,0.000717875
45,437.669,1.07533,0.49808,0.01028,0.89134,0.8574,0.8919,0.57308,1.2052,0.46803,0.01404,0.0007055,0.0007055,0.0007055
46,445.532,1.06417,0.49036,0.0099,0.91744,0.82821,0.9025,0.58981,1.18379,0.47825,0.01234,0.000693125,0.000693125,0.000693125
47,453.134,1.0713,0.51325,0.0107,0.93769,0.83303,0.91026,0.60104,1.13851,0.4719,0.01236,0.00068075,0.00068075,0.00068075
48,461.103,1.02756,0.47985,0.01042,0.94478,0.87682,0.91613,0.60514,1.13048,0.43981,0.01236,0.000668375,0.000668375,0.000668375
49,468.69,1.02038,0.47641,0.00988,0.91027,0.85525,0.9028,0.5987,1.18722,0.44589,0.01295,0.000656,0.000656,0.000656
50,476.378,1.04425,0.49099,0.01,0.87817,0.86516,0.90673,0.61577,1.1018,0.43776,0.01174,0.000643625,0.000643625,0.000643625
51,484.198,1.0266,0.47108,0.01006,0.93348,0.86463,0.90051,0.60575,1.17578,0.43633,0.01242,0.00063125,0.00063125,0.00063125
