epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0133,1.56662,3.4918,0.02125,0.96887,0.27316,0.28221,0.17044,1.53854,2.26083,0.02262,0.000406504,0.000406504,0.000406504
2,27.3236,1.27201,1.80784,0.01457,0.89453,0.31629,0.35583,0.19047,1.57653,1.57709,0.02525,0.000815021,0.000815021,0.000815021
3,38.706,1.31756,1.48887,0.01464,0.88386,0.34119,0.40481,0.27959,1.30177,1.26896,0.01513,0.00121529,0.00121529,0.00121529
4,50.2504,1.30052,1.37105,0.01371,0.91605,0.33921,0.40337,0.29705,1.19901,1.16462,0.01375,0.00121287,0.00121287,0.00121287
5,62.0441,1.27187,1.2626,0.01316,0.92281,0.37712,0.43015,0.28644,1.37348,1.11781,0.01636,0.0012005,0.0012005,0.0012005
6,73.5668,1.29958,1.13314,0.01388,0.93931,0.38813,0.45294,0.32109,1.26331,0.87151,0.01439,0.00118812,0.00118812,0.00118812
7,85.1985,1.25053,1.05508,0.0123,0.95116,0.42458,0.46268,0.32595,1.21121,0.77283,0.014,0.00117575,0.00117575,0.00117575
8,96.3934,1.20854,0.87021,0.01313,0.97361,0.40403,0.45719,0.32485,1.19966,0.72625,0.01313,0.00116337,0.00116337,0.00116337
9,107.54,1.1837,0.88347,0.01209,0.9427,0.42387,0.45141,0.31045,1.24537,0.77449,0.01418,0.001151,0.001151,0.001151
10,119.13,1.18977,0.87279,0.01137,0.92951,0.41691,0.44533,0.30483,1.26418,0.78419,0.01594,0.00113863,0.00113863,0.00113863
11,130.767,1.18767,0.84573,0.0126,0.97777,0.3546,0.4574,0.31909,1.28021,0.72951,0.01378,0.00112625,0.00112625,0.00112625
12,141.489,1.19234,0.85995,0.01179,0.95547,0.42532,0.48588,0.32472,1.21006,0.65426,0.01337,0.00111388,0.00111388,0.00111388
13,149.147,1.19175,0.76763,0.01164,0.96957,0.42488,0.46782,0.33165,1.18964,0.60172,0.01304,0.0011015,0.0011015,0.0011015
14,156.933,1.15082,0.74776,0.01164,0.92255,0.45208,0.46801,0.33015,1.1025,0.66782,0.0122,0.00108913,0.00108913,0.00108913
15,164.973,1.19089,0.76775,0.01189,0.97303,0.40332,0.47139,0.32268,1.23121,0.61757,0.01459,0.00107675,0.00107675,0.00107675
16,172.881,1.20132,0.75733,0.01189,0.97358,0.40627,0.47525,0.32351,1.2713,0.64663,0.01402,0.00106437,0.00106437,0.00106437
