epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.4089,0.76086,8.04456,0.00297,0.53655,0.32038,0.45112,0.40608,0.5229,7.56105,0.00286,0.000413105,0.000413105,0.000413105
2,42.702,0.61278,5.02269,0.00261,0.5265,0.66592,0.63058,0.56842,0.5059,2.70735,0.00296,0.000821557,0.000821557,0.000821557
3,62.6437,0.57169,2.97323,0.00243,0.55463,0.75925,0.67173,0.6098,0.49801,1.58633,0.00284,0.00122176,0.00122176,0.00122176
4,81.8739,0.55513,1.93342,0.00244,0.58067,0.78917,0.70103,0.63622,0.49664,0.81625,0.00278,0.00121287,0.00121287,0.00121287
5,100.716,0.53662,1.35474,0.00245,0.64584,0.74345,0.71109,0.65573,0.42725,0.68003,0.00289,0.0012005,0.0012005,0.0012005
6,119.905,0.49329,1.09241,0.0023,0.65086,0.79534,0.74984,0.69442,0.42534,0.54797,0.00255,0.00118812,0.00118812,0.00118812
7,138.855,0.49565,0.93466,0.00218,0.63218,0.82984,0.75008,0.70601,0.38801,0.56694,0.00239,0.00117575,0.00117575,0.00117575
8,157.801,0.45385,0.87704,0.00201,0.63425,0.84543,0.73785,0.69619,0.37876,0.53426,0.00222,0.00116337,0.00116337,0.00116337
9,176.581,0.45232,0.75507,0.00191,0.64718,0.84832,0.75382,0.71639,0.35092,0.48646,0.00196,0.001151,0.001151,0.001151
10,195.146,0.43893,0.72469,0.00194,0.64901,0.81512,0.77081,0.72275,0.37546,0.47764,0.00246,0.00113863,0.00113863,0.00113863
11,213.388,0.44445,0.72822,0.00211,0.70803,0.85964,0.76339,0.72115,0.36725,0.47713,0.00214,0.00112625,0.00112625,0.00112625
12,231.249,0.40621,0.66245,0.00187,0.71969,0.82924,0.799,0.75373,0.35858,0.44318,0.00221,0.00111388,0.00111388,0.00111388
13,249.831,0.42684,0.64809,0.00188,0.70814,0.85579,0.83281,0.79726,0.31318,0.42282,0.00203,0.0011015,0.0011015,0.0011015
14,269.484,0.40409,0.59279,0.00183,0.7873,0.85788,0.85353,0.82446,0.2985,0.39638,0.00192,0.00108913,0.00108913,0.00108913
